Model,Train RMSE,Val RMSE,Train R²,Val R²,Val MAE
Linear Regression,532.6311105746381,539.9370298988023,0.9203547540699232,0.9189762475573048,426.9941009033901
Ridge Regression,532.6313491171468,539.9247457809182,0.9203546827305642,0.9189799342613062,426.9814136333096
Lasso Regression,532.9116529676191,539.8025843874749,0.9202708320014827,0.9190165927197897,426.71764647172193
Random Forest,197.83620502104307,440.67242186895953,0.9890120077725144,0.9460293223528066,342.94652434777845
Gradient Boosting,381.0514849265863,444.13864124027975,0.9592362513483115,0.9451769434039189,344.6746536643294
